"Отметка времени","Соберём немного статистики. Анкета анонимная, нам нужен только возраст","Какие слова звучат смешно? ","Как Вам кажется, почему эти слова смешные? "
"2020/11/08 9:20:03 PM GMT+3","23-35","мышьяк мормышка жужелица плутовка чернозём жамкать ложка ломтик лодыжка калаш каланча мочало лыжи жилище шашни шершень шалашовка шушпанчик суспензия недотыкомка лежбище коррозия каравелла ломбард","смешно звучат"
"2020/11/08 9:20:56 PM GMT+3","23-35","зимбура камзол суспензия дресскод ",""
"2020/11/08 9:23:52 PM GMT+3","36-50","Шурупчик","Просто смешное"
"2020/11/08 9:33:25 PM GMT+3","19-22","кабачок штанишки мюзле кегель краюшка втулка","некоторые из них похожи на имена сказочных персонажей"
"2020/11/08 9:38:39 PM GMT+3","16-18","хохмочно чеполохнуть лызгнуть ухохочешься жопик ","Хз ваще я просто ржу "
"2020/11/08 9:39:55 PM GMT+3","19-22","умножитель","из-за окончательного, сумматор не смешной например"
"2020/11/08 9:58:43 PM GMT+3","19-22","шлюп сосиска фёдор ","ну вот я собственно и надеюсь понять.. "
"2020/11/08 10:00:46 PM GMT+3","19-22","чилипиздрик пупа лопата","Не знаю ("
"2020/11/08 10:08:36 PM GMT+3","23-35","мыш пек-пек-пек мистерио ауф ","Мистерио как производное от мистер. Ауф произносит большой и шкодливый волк. Пек-пек-пек — это  собака средних размеров семенит и перебирает лапками пек-пек-пек. Мыш имеет планы, тактику и стратегию."
"2020/11/08 10:28:24 PM GMT+3","больше 50","Жиробасик жиробасик жиробасик ","Такой толстенький и смешной "
"2020/11/08 10:44:26 PM GMT+3","16-18","буёк гульден овсяночка бугульма мюсли","Само звучание их хранит в себе какую-то странную тайну, которую мне ещё только предстоит разгадать... "
"2020/11/08 11:00:27 PM GMT+3","16-18","штукенция корнишон чупакабра кулебяка ","Часть звучит по-детски, часть нестандартно, а часть по неопределённой причине."
"2020/11/08 11:10:53 PM GMT+3","23-35","торжок знаться вонь колпак кожура гномик взвинченный кушать перпендикуляр","только бог знает ну или может некоторые звукосочетания имеют определенную эмоциональную окраску или там смутную ассоциативную связь с чем-то забавным "
"2020/11/08 11:28:51 PM GMT+3","23-35","рододендрон титикака выдра","сочетание букв в них звучит забавно"
"2020/11/08 11:50:40 PM GMT+3","16-18","Оползень фуфайка зумиться выхухоль оттепель мормышка примус горлодер","Контекст, личные ассоциации"
"2020/11/09 12:05:17 AM GMT+3","меньше 16","бубун чувылдра дудыка чурка ","Потому что они малоупотребимые и не несут особого смысла. Набор звуков тоже такой, что язык поворачивается ""непривычно"", в ""нормальных"" словах произносить как-то ""полегче"""
"2020/11/09 12:08:34 AM GMT+3","19-22","Пескоструйка писец ","Потому что они похожи на слово ""писька"""
"2020/11/09 12:23:03 AM GMT+3","19-22","Капибара фолликул тегирование фрамуга шушутаж фейхоа ","Возможно, из-за необычного сочетания букв в словах иноязычного происхождения (""фейхоа"" – необычен стык гласных, например), ещё часто смешна сама модель словообразования (""тегирование"" – абсурдным кажется сочетание подобной основы с суффиксом, обозначающим какую-то серьёзную деятельность, ну как ""мемология"" , например) "
"2020/11/09 12:28:18 AM GMT+3","19-22","вахтер червяк сопли сопло горка навалить слив джакузи фейхоа блузка яблочко груша пастись смердеть собака сутулый клоп слива яичница жердочка вонючка шмякнуть усики челочка хрусталь облюю жижа наначка ушан продриснуть тошниловка озвереть колыбаха впуклый ","неудачные сочетания звуков или исключительно смешные ситуации употребления"
"2020/11/09 12:31:02 AM GMT+3","19-22","перцептрон квёлый пульверизатор куркуминоид цуцик пивот кавалькада укроп ","Некоторые вызывают не соответствующие значению ассоциации (я не могу воспринимать перцептрон без мысли о трансформерах и т.д.), некоторые достаточно редки и, наверное, имеют не самое типичное для русского языка звучание (вроде цуциков)"
"2020/11/09 12:32:01 AM GMT+3","23-35","Васёк куль грабёж бошка нищий ","Совокупность сочетания звуков и значения слова"
"2020/11/09 12:43:06 AM GMT+3","16-18","Невмененько колдобина самородок выродок паштет нюхательный чушка чешка ареопаг мундштук мамонна астралябия томагавк ","Шипящие, смягченные звуки ассоциируются с дефектом речи, сразу представляется смешной дедушка, который говорит эти слова. Другая же группа содержит в себе элементы слов из совершенно другой оперы. Например, гав, мама, ещё сапог похоже на ареопаг... "
"2020/11/09 1:22:08 AM GMT+3","23-35","кушать жмякать куропатка выхухоль балдеж ладошки лапульки тютелька танцули кайфули кутешата сметанка хахаль шаболда шлюшандра куролесить ебланить ","мягкие и мило звучащие слова используются для обозначения обыденного, обычного или грубого"
"2020/11/09 1:28:57 AM GMT+3","19-22","пупочек критунья ","Мы с друзьями над ними смеёмся. Связаны с ситуациями, но при этом беспричинными. "
"2020/11/09 1:38:31 AM GMT+3","16-18","фуфайка аксолотль пипидастр пюпитр выхухоль сукалень эспумизан ","Смешное сочетание слов"
"2020/11/09 1:39:48 AM GMT+3","16-18",".","***смешное сочетание букв"
"2020/11/09 2:22:01 AM GMT+3","23-35","куздра","оно необычное"
"2020/11/09 5:53:37 AM GMT+3","19-22","Эчпочмакжужелицамурлонюхлерпараллелепипедоптимальносинусоида","когда я говорю их изнутри щекотно лицу "
"2020/11/09 8:02:38 AM GMT+3","23-35","Пафнутий, теребонькать","Тупо звучат"
"2020/11/09 9:15:56 AM GMT+3","36-50","Матрас","Субъективное ощущение"
"2020/11/09 9:22:17 AM GMT+3","меньше 16","Фуфайка ромбовидный параллелограмм ","Непривычные по звучанию, трудновыговариваемые"
"2020/11/09 9:31:58 AM GMT+3","36-50","Чашка пупок хрюндель ","Не знаю "
"2020/11/09 9:35:16 AM GMT+3","больше 50","Жиробасик жиробасик жиробасик ","Такой толстенький и смешной "
"2020/11/09 9:37:27 AM GMT+3","19-22","Ингеборга Дапкунайте","Ингеборга Дапкунайте"
"2020/11/09 9:45:32 AM GMT+3","36-50","ШЛЕПКИ","НЕ ЗНАЮ"
"2020/11/09 9:47:13 AM GMT+3","36-50","пипидастры выхухоль хиромантия краковяк ","Созвучие с элементами обсценной лексики и именами литературных персонажей"
"2020/11/09 9:47:18 AM GMT+3","19-22","пуфик драндулет бричка пипидастр беляш","звучат смешно"
"2020/11/09 9:49:39 AM GMT+3","36-50","Сподвыподвертом изподподвыподверта","Они поражают воображение :)"
"2020/11/09 9:57:58 AM GMT+3","19-22","мюсли изюм всратыш гупёшка боб зоб глупыш босяк биточки зяблик ","Кажется, из-за их фонемного состава, в первую очередь. При артикуляции слова мюсли, например, губы сначала вытягиваются, а потом расслабляются, что в целом похоже на ""поцелуйчик"". Если учесть значение слова, то получается ещё более странно и забавно. Вообще, сочетание мягкого губного согласного и /u/ в русском встречается редко (с /o/ всё ок - мёд, вёсла, бёдра) > непривычно, смешно. А слово боб, например, вообще похоже на звукоподражание (ср. бип, буп). Ещё можно добавить, что некоторые из слов смешные из-за их противности, а некоторые - из-за жутковатости. Босяк, как и червяк - противные (-сяк, -вяк), глупыш с суф. -ыш звучит несколько устрашающе (ср. кыш!). С кАтыш и всрАтыш, возможно, немного другая ситуация, т.к. /ы/ без ударения.
"
"2020/11/09 10:20:05 AM GMT+3","16-18","Хряпнуть контик кадило Фаберже необольшевизм левачество фетшейминг эйблизм пай гурендж эйджизм сумо","Ыыы (неестественно звучат из-за заимствования или из-за странной комбинации звуков (хряпнуть))"
"2020/11/09 10:25:19 AM GMT+3","16-18","камю","сочетание звуков)"
"2020/11/09 10:45:37 AM GMT+3","19-22","халабуда кулебяка","Звучат нелепо, необычно. "
"2020/11/09 11:19:46 AM GMT+3","16-18","Кулёк гуля",""
"2020/11/09 11:57:30 AM GMT+3","19-22","монолит петрушка магнитола пышка гнус витя","произнесите их не думая о том что это такое. Если не думать, то можно уловить звучание слова, а не бесконечные летающие буквенные конструкции летающие у тебя в голове и обозначающие его смысл. У меня так было со словом ""крыжовник"" /зря я его не добавил. Пару-тройку лет назад я расстался с этим словом навсегда и оно меня не покидало, а потом полнейшей флуктуацией в голове приятеля возникло в диалоге и все мы знатно посмеялись!"
"2020/11/09 12:21:49 PM GMT+3","16-18","Шкварыга пися манюня котёныш  манул плюмбус","Они ласковые но в любой момент можно сказать это обидным голосом"
"2020/11/09 12:28:32 PM GMT+3","16-18","чушь, чебупели, штрафбат (потому что штраф, бать)","Чебу не умеют петь, бате пришёл очередной штраф. Одним словом, чушь"
"2020/11/09 12:52:05 PM GMT+3","36-50","пёсель выхухоль кулебяка ","вызывают какие-то смешные ассоциации в мозгу"
"2020/11/09 2:00:03 PM GMT+3","23-35","Писька сиська моська сосиска киска пышка душка пашка черепашка","Смешно звучат"
"2020/11/09 3:02:11 PM GMT+3","19-22","чебуреки кушать клипсы морока пеня мУка товарищ палка ",""
"2020/11/09 5:23:08 PM GMT+3","19-22","мулька бирюльки коряга зиждиться жижа лампасы папаха кузня грязюка тяпать тюфяк пипка булькать улюлюкать елозить егоза ","Во-первых, из-за того, что они не часто употребляются, поэтому непривычны на на вкус, кажутся странными, произносятся ""как не по-русски"". Во-вторых, из-за необычного звукового облика. Кажется, из-за сочетаний разных непохожих элементов в разных слогах ([шумный твердый глухой согл+лабиализованный глас]+[шумный мягкий звонкий+сонорный мягкий+нелабиализованный глас]). В-третьих, некоторые не часто встречающиеся сочетания в любом окружении делают слово смешным и неприятным на вкус (з'н', зя, ня, зю, зя , например)"
"2020/11/09 5:55:58 PM GMT+3","16-18","мышь мопс суп кошонята","не знаю, они какие-то мягкие"
"2020/11/09 7:10:07 PM GMT+3","16-18","поросюшка балбес джинсы собачонка картошка гибискус Сызрань прелость людоедка шансоньетка хачапури кумыс курка маслице хмели-сунели пупсеныш штанишки клуша харчок квакша кекс айран чурчхела чучело ","думаю это может быть связано с определёнными сочетаниями звуков (в основном, шипящие и глухие), которые ""щекочут"" наш слух
многие слова, которые кажутся смешными, заимствованы из других языков, и это может быть связано с тем, что эти языки сильно отличаются от русского и вызывают у нас так называемую щекотку своими чуждыми для нашего уха сочетаниями звуков
кроме того, нас смешат уменьшительно-ласкательные формы, опять же из-за шипящих и некоторой перегруженности слова "
"2020/11/09 11:08:43 PM GMT+3","19-22","скокма топинамбур попаданец черемша чешуйчатый жижа плюшка барабулька","Забавно звучат и хорошо отражают суть своим звучанием"
"2020/11/09 11:15:17 PM GMT+3","16-18","моль мышь лапа веник глаз нос день соль малина пыль уксус ацетат борец ловушка сурьма интерферон белок сено коробок лампа","они не очень длинные. их можно произнести четко и громко, что иногда звучит смешно"
"2020/11/09 11:35:35 PM GMT+3","19-22","пипидастр чурчхела катышки козлина ","потому что они забавно звучат и сейчас у меня есть настроение посмеяться"
"2020/11/10 1:45:47 AM GMT+3","23-35","Сосиска бровья оливки влогер вермишель трикотаж кура булка ","Бэк граунд "
"2020/11/10 2:19:48 AM GMT+3","19-22","напиток муравей ",""
"2020/11/10 4:16:24 AM GMT+3","19-22","бляшка",""
"2020/11/10 9:04:40 AM GMT+3","19-22","камбала бюст корреляция диссоциация стремя ",""
"2020/11/10 3:00:09 PM GMT+3","19-22","тютелька телепаться телепузик","из-за сочетания звуков"
"2020/11/10 3:44:14 PM GMT+3","19-22","выхухоль",""
"2020/11/10 5:01:39 PM GMT+3","23-35","бордюр пипка шаровары выхухоль мамалыга очечник мымра","звучат странно, содержат редкие звуки или комбинации звуков (ы, хух, ыг), звучание схоже с обсценной лексикой (пип, хух)"
"2020/11/10 10:02:11 PM GMT+3","23-35","Пехора расфуфыренный стерлядь форшмак урюк","Звучат забавно. А в одном из них запрятано две неприличных женщины!!"
"2020/11/11 12:05:01 AM GMT+3","23-35","Убежище тумбочка кабачок жук Володя ","Шипящие"
"2020/11/11 1:28:41 PM GMT+3","19-22","сосняк",""
"2020/11/11 6:14:12 PM GMT+3","23-35","поприще узилище общность пестун","в первых двух наверное суффикс виноват а пестун ну тут ясно всё"
"2020/11/11 7:25:46 PM GMT+3","16-18","бобер добрыня бублик замятыш курыч перекурчик жабик кукусик Апоп лютик кардиганчик джемперок ","Уменьшительные суффиксы, где-то двойные значения"
"2020/11/13 2:35:22 PM GMT+3","19-22","фикус бабайка суслик огурчик клянчить квакушка пипидастр уточка утя пуфик ","блин, ну, наверно, из-за сочетания букв, которые подразумевают что-то несерьёзное (так вообще бывает?), а предмет сам по себе нормальный; как уменьшительный суффикс там, где предмет не маленький"
"2020/11/14 4:24:03 AM GMT+3","19-22","жопа","на подсознании где-то так ощущается; семантика, вероятно, влияет еще"
"2020/11/14 2:47:19 PM GMT+3","19-22","коклетки артишок чикибряк поплавок шуршулька зоил зоилы зазуля зозуля зазауля гулёна парисосиса ядвига ","забытые слова! отдельно писали, что интересно, что смешнее: зазуля или зозуля"
"2020/11/14 3:03:59 PM GMT+3","16-18","Кашалот ",""
"2020/11/14 3:23:53 PM GMT+3","19-22","коклетки артишок чикибряк поплавок шуршулька зоил зоилы зазуля зозуля зазауля гулёна парисосиса ядвига ","забытые слова! отдельно писали, что интересно, что смешнее: зазуля или зозуля"
"2020/11/15 11:21:19 AM GMT+3","19-22","Эчпочмак баурсак черемякать чачка пипсов дудонить чилипиздрик капоп жмых хохотач","Глупо звучат, поэтому смешно"
